sentence|category
What motivates you to learn foreign languages?|1
Which do you like better, tea or coffee?|1
What do you like to eat for lunch?|1
What would you like for dessert?|1
Where else in Boston do you want to visit?|2
What do you want from me?|1
What would you like to drink?|1
Which would you like: coffee or tea?|1
As for me, I prefer coffee to tea.|1
What's your opinion on that?|1
You never know what you can accomplish until you try.|2
What don't you like about winter?|1
What's Tom doing tomorrow?|1
What's Tom doing here? I didn't invite him.|1
What's your older sister doing now?|1
What are you doing here in Boston?|1
What are you doing today?|1
What's your favorite thing to do in your free time?|2
What do you do for a living?|1
What kind of reading do you like to do?|2
How much does a kilogram of pineapples cost?|1
How much did you say this cost?|1
How much are the oranges?|1
What can you give me?|1
What could I say?|1
What ever can that be?|1
What happened to Tom?|1
What is Tom to you?|1
What's so funny? Nothing.|1
Which is worse, killing one person or letting five people die?|2
What's wrong with running around your house naked?|1
What about Tom? Shouldn't we invite him too?|1
What's the matter with him?|1
What is the matter with him?|1
What happened to your car?|1
What happened to the bag of potato chips that was here?|2
What's Mary's favourite series?|1
What is Mary's favourite series?|1
What's wrong with her? Why does she do that?|2
What's in the box?|1
What's in those boxes?|1
What should we do in the event of a fire?|2
What should I do in case of fire?|1
What's in here, Tom?|1
Which is larger, Tokyo or Kobe?|1
What happened at your place last night?|1
What's a pandemic?|1
What is a pandemic?|1
What is actually culture?|1
What's the asking price?|1
What's normality?|1
What's the most challenging thing about learning a foreign language?|2
What's the real reason you don't want to do that?|2
What's the difference between an epidemic and a pandemic?|2
What's the difference between an eagle-owl and a barn owl?|2
What's the point of life if we all eventually die?|2
What is the melting point of water?|1
What's that yellow thing over there?|1
Who's the girl sitting next to Tom?|1
What's your favorite kind of salad dressing?|1
What's your favorite cookbook?|1
What's your favorite TV series?|1
What is the universe?|1
What's the most difficult thing about learning French?|1
What's the worst thing that could happen?|1
Who's the woman sitting next to Tom?|1
What's the most disgusting food you have ever eaten?|2
What's the dumbest thing you did as a kid?|2
What is that thing?|1
What's up there?|1
What on earth did Tom mean?|1
What you've heard about me isn't true.|1
Children won't eat what they don't like.|1
What he lacks is courage.|1
What I'd really like is something cold to drink.|2
What I'm going to do is none of your business.|2
What I'm going to do doesn't concern you.|1
What I think doesn't matter.|1
What I need is fresh air.|1
What I hate about winter is the cold.|1
What were you hoping to accomplish?|1
What do you hope to find here?|1
What is toxic is your cynicism.|1
How about we go to my place after the party?|2
What do you say we go watch a movie?|2
How about we go watch a movie?|1
What has Tom said?|1
What did Tom steal from you?|1
What cost Tom the election?|1
What would you have done in her place?|1
What has she done today?|1
What happened there?|1
What did Shakespeare write?|1
What gave me away?|1
How much was it?|1
What was he doing in your room?|1
What made you come here?|1
What has brought you here?|1
What made you ask Tom that?|1
What motivated you?|1
What do you have to lose?|1
What did you lose?|1
What have you been up to?|1
What have you got planned for next weekend?|1
What do you have planned for next weekend?|1
What do you have planned for tomorrow?|1
What did you do with Tom?|1
What have you ever done for us?|1
What have you got in your backpack?|1
What did you tell her? The truth.|1
What did you dream?|1
What were you dreaming about when I woke you?|2
What did you do? I didn't do anything.|1
What did you do to get expelled from school?|2
What did you have for supper last night?|1
What did you learn?|1
What did you expect? French isn't my native language.|2
What else did you do there?|1
What are you going to do after you finish doing that?|2
What did you put there?|1
What do you hate about winter?|1
What does Tom think about us?|1
What do you think of Tom's new car?|1
What do you think of modern art?|1
How about we skive off school and go to the beach?|2
How about we bunk off school and go to the beach?|2
What keeps you up at night?|1
What've you bought her?|1
What've you bought for her?|1
What have you bought her?|1
What have you bought for her?|1
What've you bought him?|1
What've you bought for him?|1
What have you bought him?|1
What have you bought for him?|1
What've you bought her?|1
What've you bought for her?|1
What have you bought her?|1
What have you bought for her?|1
What've you bought him?|1
What've you bought for him?|1
What have you bought him?|1
What have you bought for him?|1
What are you going to be using the frogs for, mister? asked one of the boys.|2
What did you do before you became a truck driver?|2
What've I ever done to you?|1
Who does Tom think is going to win?|1
How soon do you think we can reach our goal?|2
How long do you think Tom's been doing this?|2
How long do you think Tom has been doing this?|2
How much longer do you think it'll take to reach our goal?|2
How soon do you think we can reach our goal?|2
How old do you think Tom is?|1
Who do you think will win?|1
What do you think Tom meant?|1
What country do you think has the most beautiful women?|2
How soon do you think we can reach our goal?|2
What will you have for dinner tonight?|1
What's done, is done.|1
What exactly do you want to do?|1
What is it you'd like me to do exactly?|2
What does that have to do with you?|1
How much do you spend on food every month?|2
What kind of students do you teach?|1
What kind of shoes does Tom want to buy?|2
What pretty eyes you have!|1
What kind of music do you like to listen to when you're driving?|2
What nationality are your friends? Norwegian.|1
What vegetables do you usually grow?|1
What kind of volunteer work does Tom do?|1
What kind of movies do you like best?|1
What a shot!|1
What horrible weather!|1
What a pleasant day!|1
What marvelous weather.|1
What a strange slogan!|1
What kind of person do you want to be?|2
What does the future hold for us?|1
What a shame!|1
What a funny story!|1
What a detestable woman!|1
What kind of person are you?|1
What kind of music will you guys be playing?|2
What sort of book are you reading? A novel.|2
What? Pharamp asked. Nothing, Sysko lied, we were talking about the effect of Confucianism on modern Chinese socialism.|2
What do the trees whisper?|1
What do you find so interesting about him?|1
What do you like to eat?|1
What do you expect me to do?|1
He was surprised by what he saw.|1
Regardless what he does, he does it well.|1
Regardless of what Tom does, he does it well.|2
No matter what Tom does, he does it well.|2
Just because something is bad for your enemy doesn't necessarily mean that it's good for you.|2
Never put off until tomorrow what you can do the day after tomorrow.|2
What you're doing seems way more dangerous than what I'm doing.|2
What you said made everybody angry.|1
What you call love is nothing more than just attraction.|2
What you are doing there is punishable.|1
What you lack is stamina.|1
I wonder who Tom thinks Mary thinks is going to do that.|2
What do you really think?|1
What did you think I would do?|1
Wash your neck.|1
What's the point of knowledge if you can't share it with others?|2
What's the point of knowledge if you can't share it with others?|2
What makes people do that?|1
What makes you smile?|1
What do you need to build a nether portal?|2
What made you think Tom did that?|1
What's the meaning of this word?|1
What does this word mean?|1
What're you baking?|1
What would you change if you could?|1
What would you change if you could?|1
What would you change if you could?|1
What other people think of me is none of my business.|2
Why are you undressing?|1
Why were Tom and Mary expelled from school?|1
Why do you want to work in Australia?|1
Why not turn the matter over in your mind?|2
Why do you want to talk to Tom?|1
Why do you want to work in Australia?|1
Why isn't Tom going to help us? Because he's an asshole.|2
Why does Tom want to live there?|1
Why do you want to work in Australia?|1
Why don't you want it?|1
Why do you want to know that?|1
Why are we being punished?|1
Why am I being handcuffed?|1
Why don't I know about it?|1
What are you crying about, sweetheart?|1
Why don't you wait until Tom gets here?|1
Why were you there for so long?|1
Why is he hiding under this bed?|1
Why is he hiding under the bed?|1
Why don't you just forget it?|1
Why are you wasting my time?|1
Why does this surprise you?|1
Why does Tom keep doing that?|1
Why do you keep doing that?|1
Why do you do what you do?|1
Why do you keep doing that?|1
Why do you keep doing that?|1
Why is everyone acting like this is such a big deal?|2
Why do I keep doing that?|1
Why Tom was killed is still a mystery.|1
Why isn't she dancing?|1
Why don't you study French?|1
Why do so many musicians die young?|1
Why do you always take her side?|1
Why is Tom still standing outside in the rain?|2
Why would Tom lie to me?|1
Why would I give Tom the apple?|1
Why should I care what society thinks?|1
Why should I ask Tom for permission?|1
Why are Tom and Mary in Boston?|1
Why are you so hard-headed?|1
Why are you curious all of a sudden?|1
Why did you visit the doctor that time?|1
Why are men so dumb?|1
Why are guys so stupid?|1
Why are these girls so mean?|1
Why are people so mean to me?|1
Why don't you look for a job?|1
Why did you move away from there?|1
Why are you so poor when you're so smart?|2
Why is everyone looking at us?|1
Why do you look so angry?|1
Why don't we turn the TV off?|1
Why didn't you say anything?|1
Why don't you tell me what you're doing here?|2
Why are you packing so much stuff? It's only a 3-day trip.|2
“Why are you taking pedagogy courses? Do you want to become a teacher?” “No, I’m learning it not as a career prospect, but as a life skill.”|3
Why don't we take a taxi?|1
Why do you insist on being right all the time?|2
Why do we have to wear underwear?|1
Why do I have to do that?|1
Why do Tom and Mary have to do that?|2
Why do so many people like Tom?|1
Why do you want to be a nurse?|1
Why's the cat meowing?|1
Why isn't Tom doing this?|1
Why don't you go on a diet?|1
Why are you worried about me?|1
Why aren't they worried?|1
Why are you learning Esperanto?|1
Why are they all learning Esperanto?|1
Why do you even care about this?|1
Why can't we just go home?|1
Why can't animals talk?|1
Why can't I love both of them?|1
Why can't I remember my dreams in the morning?|2
Why didn't Tom go back to Australia?|1
Why is Neptune drunk?|1
Why is Neptune blue?|1
Why's the door unlocked?|1
Why is Jupiter so beautiful?|1
Why didn't the bus stop?|1
Why is that important?|1
Why is the ocean salty, but rivers flowing into it are not?|2
Why is Yiddish so similar to German?|1
Why on earth did you give him such a name?|2
Why isn't Tom helping Mary?|1
Why won't anybody help me?|1
Why doesn't anybody help me?|1
Why does nobody love me?|1
Why didn't you tell us you were pregnant?|1
Why didn't you answer Tom's question?|1
Why didn't you just pay Tom?|1
Why have you parked so far away?|1
Why have you parked so far away? There wasn't anywhere closer to park.|2
Why did you park so far away? There wasn't anywhere closer to park.|2
Why did you kiss her?|1
Why didn't you do anything?|1
Why haven't you had breakfast?|1
Why did you not have breakfast?|1
Why didn't you have breakfast?|1
Why didn't you just do what you said you'd do?|2
Why didn't you listen to the doctor?|1
Why didn't you listen to the doctor?|1
Why didn't you ever tell me how you felt about Mary?|2
Why didn't you tell me that?|1
Why did you unfriend me?|1
Why have you abandoned me?|1
Why didn't you warn me?|1
Why did you kiss me?|1
Why did you give her my phone number?|1
Why did you give her my address?|1
Why did you give him my address?|1
Why are you in such a good mood today?|2
Why are you busy today?|1
Why did you show it to me?|1
Why did you buy a Korean car?|1
Why do you keep an empty bottle in your car? Take a wild guess.|2
Why did you teach the dog Spanish?|1
Why didn't you mention this before?|1
Why did you do that? Because I felt like it.|2
What made you ask that question?|1
Why did you try to do that?|1
Why do you hate Japanese?|1
Why don't you shut the fuck up?|1
Why haven't you had breakfast?|1
Why did you not have breakfast?|1
Why didn't you have breakfast?|1
Why didn't you just do what you said you'd do?|2
Why didn't you listen to the doctor?|1
Why did you give her my address?|1
Why did you give him my address?|1
Why are you in such a good mood today?|2
Why did you learn German?|1
Why didn't you tell us about this earlier? We'd have been able to do something about it.|2
Why did they fire Tom?|1
Why do you have so many cats?|1
Why did you bring her here?|1
Why did you only stop the foreigners?|1
Why haven't you had breakfast?|1
Why did you not have breakfast?|1
Why didn't you have breakfast?|1
Why didn't you listen to the doctor?|1
Why didn't you believe me?|1
Why didn't you ask me?|1
Why did you wake me up?|1
Why did you give her my phone number?|1
Why did you give her my address?|1
Why did you give him my address?|1
Why are you in such a good mood today?|2
Why are you scared of Tom?|1
Why do black cats have yellow eyes?|1
Why do rabbits have long ears?|1
Why don't I have a friend like that?|1
Why didn't I think of that? Because you're an idiot.|2
Why don't you believe her?|1
Why do you think I'm thinking about you?|1
Why don't you give it to Tom?|1
Why don't you go talk to her?|1
Why are you going to the hospital?|1
Why are you going to hospital?|1
Why don't we go?|1
Why don't we go right away?|1
Why don't we assume Tom is right?|1
Why do you like Boston?|1
Why don't you ask her yourself?|1
Why not ask Tom?|1
Why are you asking me?|1
Why are you asking me that?|1
Why are you asking me about this?|1
Why do we always find something to fight over?|2
What is the reason for separating male and female chess championships?|2
Why do people dye their hair?|1
Why isn't the ship moving?|1
Why don't you take a taxi?|1
Why can't dogs eat chocolate?|1
Why do you have your umbrella up? It's not raining.|2
Why do you think Dan would do this?|1
Why do you think that?|1
Why don't you ask the librarian for help?|1
Why aren't you with me?|1
Why are you always so damn proud of yourself?|2
What are you really here for anyway?|1
Why do so many people visit Kyoto?|1
Why don't you get one?|1
Wasn't Tom home?|1
Was Tom OK with that?|1
Were you at school the day before yesterday?|1
Don't wait for me if I'm late.|1
Why don't we wait until Tom gets back?|1
Why don't we wait for a few days?|1
Why don't we wait and see what happens tomorrow?|2
Let's wait until tomorrow morning.|1
Don't wait for me if I'm late.|1
Wait. I will pay for this.|1
Are you waiting for me to do it?|1
Please wait for me.|1
Wait till I finish eating.|1
Don't wait until the last minute.|1
Don't wait for me if I'm late.|1
Wait just 3 minutes.|1
Wait thirty minutes.|1
Wait for me a bit!|1
Were you at school the day before yesterday?|1
Have you ever gone to that restaurant?|1
Have you ever been to that restaurant?|1
Have you ever visited France?|1
Have you ever been to the Black Sea?|1
Did you ever get a crush on your teacher in elementary school?|2
Did you ever get a crush on your teacher in elementary school?|2
Did you take the dog out today or not yet?|2
Did you get a haircut?|1
Did you see a doctor?|1
Was Karl Marx a communist?|1
Was it really just a misunderstanding?|1
Was it Tom who told you I'd come?|1
Was it Tom that told you I'd come?|1
Was it Tom who told you I'd come?|1
Was it Tom that told you I'd come?|1
Could you do me a favor and close the door on your way out?|2
Would you be so kind as to lend me your book?|2
Would you have been able to do that?|1
Were Tom and Mary together?|1
Have you seen any other doctors for this issue?|2
Would you mind answering the question?|1
Have you ever been treated for a urinary tract infection?|2
Did you lose consciousness after the accident?|1
Have you ever been a witness in a court case?|2
Did you take the dog out today or not yet?|2
Could you be so kind as to speak more slowly, please?|2
Would writing English sentences involving people using “they/them” pronouns be too confusing for English-learners whose native language has no sense of gender-neutral pronouns?|3
Were they the ones who were riding in the back of the car?|2
How about a cup of coffee?|1
Has the mailman already come?|1
Was it by accident or by design?|1
Was it really necessary?|1
Was that recently?|1
Was that your question?|1
When was it finished?|1
When would it be convenient for you?|1
When was the agreement ratified?|1
When will you return?|1
When are you going to talk to Tom about that?|2
When are you going to get married?|1
When will her marriage ceremony be held?|1
When's dinner served?|1
When does a puppy become a dog?|1
When does a kitten become a cat?|1
When will you be doing that?|1
When will we meet again?|1
What time shall we arrive at Sapporo if we take this plane?|2
When was the last time you visited the dentist?|2
When was your last haircut?|1
When was the last time you got a haircut?|2
When will you finish your work?|1
When did you go to London?|1
What time does this restaurant close?|1
When do you expect Tom to return?|1
When do you expect Tom to return?|1
When do you expect Tom to return?|1
When is Tom going to come over?|1
When is Mom coming home?|1
When are you coming to Boston?|1
When will your new novel come out?|1
What time will you arrive tomorrow?|1
What time will you come pick me up?|1
When can I call you?|1
When is school over?|1
When's the next meeting? I hope it's not on Monday.|2
When will the food be ready?|1
On what date did your last period start?|1
When did Mr Suzuki leave Japan?|1
When did the unusual discharge begin?|1
When did this pain start?|1
When was the last time you used a fax machine?|2
When did you last sharpen this knife?|1
When was the last time you tidied your room?|2
When's the last time you bought fruit?|1
When was the last time you spoke with Tom?|2
When's the last time you bought meat?|1
When was the last time you gave charity?|1
When did you get this?|1
When did you begin to learn English?|1
What time's your curfew?|1
When was it that you first met Tom?|1
When did you notice that I was missing?|1
When's the last time you bought fruit?|1
When was the last time you vomited?|1
When was the last time you used a fax machine?|2
When's the last time you bought fruit?|1
When did you last hear from Tom?|1
When was your last hearing test?|1
When was the last time you drank alcohol?|1
When did you first notice that you were losing your hair?|2
When does the train depart?|1
When will you leave?|1
When will the next World Cup take place?|1
When is the next World Cup?|1
When does the next World Cup take place?|1
What time does the first train leave?|1
When do you think you'll see Tom?|1
When does your business trip begin?|1
Verily I say unto you, inasmuch as ye have done it unto one of the least of these my brethren, ye have done it unto me.|3
Thou speakest sooth. Why are you talking like that, Tom?|2
A lot's happened while you've been away.|1
During the lockdown, Algerian parks were closed for visitors.|2
During the reign of Augustus, Christ was born; during the reign of Tiberius, he was crucified.|2
During the entire lesson, he counted flies.|1
Choose three books at random.|1
Wiggle your toes.|1
Wiggle your toes.|1
Do mushrooms grow in this forest?|1
Does the pain wake you up at night?|1
Ignorance of the law does not exempt punishment.|1
Do you support reparations for slavery?|1
This is not my idea of fun.|1
Different people may describe the same basic ideas or things in completely different ways.|2
Don't underestimate the incredible power of a simple smile and a kind word.|2
Do you still teach history?|1
Don't do anything to prevent Tom from doing that.|2
Don't do anything to prevent Tom from doing that.|2
Let's make one last effort.|1
Don't do anything to prevent Tom from doing that.|2
There is a cat under the bed.|1
We had our wallets stolen.|1
We've run out of red wine.|1
Nonsense! Anne laughed merrily. There is no sacrifice. Nothing could be worse than giving up Green Gables—nothing could hurt me more.|3
We weren't told either.|1
We ran out of gas.|1
We were missing a player.|1
Our gate squeaks whenever someone opens it.|1
Give us this day our daily bread, and forgive us our sins as we forgive those who sin against us.|2
Our school principal is a Canadian.|1
Our uncle bought us movie tickets.|1
Our new store is due to open in October.|2
Our new teacher is fresh out of college.|1
Our new store will open in a few weeks.|2
Our website is down again.|1
They collect our garbage every Monday.|1
Our teacher comes to school by car.|1
Our country is Algeria.|1
Our yacht club has ten members.|1
Our dog sometimes makes noise in his sleep. He must be barking in his dream.|2
Our house is in a convenient location.|1
Our grandfather learned five languages ​​as a child.|1
Our flight was canceled.|1
Our forces occupied the city.|1
Our study showed the exact opposite.|1
Our city has trams.|1
Our food is cheap.|1
Our school has accepted three Canadians as exchange students.|2
Our school accepted three Canadians as exchange students.|1
Our school accepted three Canadians as exchange students.|1
Our school principal is a Canadian.|1
Our right flank is under attack.|1
Our wheelie bin was stolen.|1
Our team lost several good players.|1
Our team lost several good players.|1
Our youngest daughter's name is Mary.|1
Tom liked the way we did that.|1
Our hens lay a lot of eggs.|1
Our hens laid a lot of eggs yesterday.|1
I don't know enough French to make out what they're saying.|2
Our factory is building a new chimney.|1
Our parents never punished us.|1
Our visitors are sitting in the living room.|1
We're afraid of Tom.|1
Needless to say, the good bishop won the duel with the bad bishop.|2
There's no need to mention that Tom did that.|2
College graduates earn on average over fifty per cent more than those with only a high-school degree.|2
Unfortunately, I don't believe she'll succeed.|1
In spite of the fact that she was busy, she came to see me.|2
And who is the bride?|1
And what do you want from me in return?|2
And so they didn't marry and they lived happily until the end of their lives.|2
And now, a word from our sponsors.|1
And nobody helped you?|1
And you call this a meeting room?|1
I applied my heart to seek and to search out by wisdom concerning all that is done under the sky. It is a heavy burden that God has given to the children of mankind to be afflicted with.|3
And feminism, what do you think about feminism?|1
And there is not even enough water.|1
And the crow? asked Gerda. Oh, the crow is dead, she replied.|2
And the award goes to: Tom Smith!|1
And then something very strange happened.|1
And then everyone started singing.|1
To go to the museum, walk toward the river, and when you get there, turn right.|2
What time do you usually have breakfast?|1
What time do you start work?|1
What time did you get up this morning?|1
Tom is the one who usually deals with disgruntled customers.|2
For being such an expensive wine, it really should taste better than this.|2
To avoid criticism: do nothing, say nothing, be nothing.|2
Eleven o'clock is good for me.|1
You need a longer handle if you want to get more torque.|2
You can't mine diamonds without an iron pickaxe or better.|2
I have started skipping lunch with a view to losing weight.|2
Ukrainian girls are the most beautiful girls in the world.|2
Surveillance camera footage showed Tom lighting the fire.|1
Don't translate word for word.|1
Translators often tend, consciously or not, to explain a text by making it more logical than the original.|2
Translate me! Translate me!|1
Surprisingly, it worked.|1
Check everything once more.|1
Check everything once more.|1
Check everything once more.|1
Check your answers with Tom's.|1
Talking about music is like dancing about architecture.|1
That comment made me laugh really hard. Thank you.|2
Everyone in town is gossiping about us.|1
The word was all over the city.|1
Don't act surprised.|1
Are you sorry?|1
Are you guys sorry?|1
Are you sorry?|1
Just do what you want to do.|1
Pretend you know something.|1
Why don't we pretend to be a couple?|1
Please don't hurt Tom.|1
Just do what you want to do.|1
Don't do that anymore.|1
Just do what you want to do.|1
Please do this for me.|1
Do good and throw it in the sea.|1
In spite of being fat, she was pretty.|1
In spite of the heavy rain, he visited his friend in hospital.|2
Trolling is a sin!|1
Dry sand absorbs water.|1
Trish Keenan was an English musician and singer.|1
Drink some water to get rid of your hiccups.|2
Do you drink alcohol every day?|1
Let's meet in a week.|1
Why don't we meet back here at 2:30?|1
Let's meet on Sunday.|1
Two hunters meet: both are dead.|1
No place like home.|1
Do you think Tom won't be able to do it?|2
Do you think that Tom won't be able to do it?|2
Sign the guest book.|1
Do you wear a hearing aid?|1
Tonya has a beautiful voice.|1
Tom forced a smile.|1
Tom is lighting a cigarette.|1
According to Tom, Mary is a coward.|1
Tom walked away without saying anything.|1
Tom drew his gun.|1
Tom took off his jacket.|1
Tom headed east.|1
Tom put on somebody else's coat.|1
Tom zipped up his coat.|1
Tom never wears the shirt that Mary made for him.|2
Tom ripped up the letter.|1
Tom is showing no signs of brain activity.|1
Tom pointed a finger at me.|1
Tom knew where Mary lived.|1
Tom knew who the murderer was.|1
Tom didn't appreciate what we'd done for him.|1
Tom didn't know what Mary was looking for.|1
Tom didn't know who to give it to.|1
Tom didn't know what Mary was looking for.|1
Tom didn't know what I was trying to do.|2
Tom didn't know what to do next.|1
Tom didn't know anything about Mary.|1
Tom didn't really know what was going on.|1
Tom didn't know how to use the fire extinguisher.|2
Tom couldn't remember what he had intended to say.|2
Tom didn't even know who Mary was.|1
Tom didn't know that Mary needed help.|1
Tom knew well that in all the sentences, the last word would always be for Mary.|2
Tom didn't appreciate that.|1
Tom knew he couldn't turn to Mary for help.|2
Tom knew that Mary wasn't likely to do that.|2
Tom knew Mary wasn't likely to do that.|1
Tom knew that Mary was busy.|1
Tom knew that Mary was hoping he'd kiss her.|2
Tom knew it was wrong to do what he did.|2
Tom knew it was wrong.|1
Tom washed his ears.|1
Tom washed the lenses of his glasses with warm, soapy water and dried them on a cloth.|2
Tom was injured, but not too badly.|1
Tom was injured, but not too seriously.|1
Tom was sentenced to life in prison without parole.|2
Tom was sentenced to three years in federal prison.|2
Tom witnessed the murder.|1
Tom didn't have enough experience, so they wouldn't hire him.|2
Tom was called names by his classmates.|1
Tom's classmates called him names.|1
Tom was bitten by a cobra.|1
Tom was bitten by a rabid squirrel.|1
Tom was hit by a motorcyclist.|1
Tom was run down by a truck.|1
Tom was eaten by a crocodile.|1
Tom got very distracted.|1
Tom became very wealthy.|1
Tom became very curious.|1
Tom was being followed and didn't know it.|1
Many obstacles were put in Tom's way.|1
Tom would never lie. If you knew, my dear, if you knew.|2
Tom didn't get anything handed to him. He actually had to work for it.|2
Tom got addicted to painkillers after his accident.|1
Tom realized that he had fallen in love with Mary.|2
Tom was caught smoking behind the gym.|1
Tom was paroled last month.|1
Tom quickly got tired of doing that.|1
A medal was awarded to Tom.|1
Tom would like to see you.|1
Tom would do that.|1
Tom's heart was ripped out.|1
Tom was seen leaving Mary's house that night.|1
Tom was accused of the sexual harassment of his female colleagues.|2
Tom was burned alive.|1
Tom was caught making a U-turn when he shouldn't have.|2
Another hunter accidentally killed Tom while he was out hunting.|2
Tom would freak out if he saw this.|1
Tom would freak if he saw this.|1
When Tom was walking down the street at night, a man he didn't know threatened him with a knife and robbed him of his cash.|3
Based on his test results, Tom was put in the intermediate English group.|2
Tom wants a cat.|1
Tom said good night to Mary and left.|1
Tom wishes he could speak French as well as Mary.|2
Tom wished he had something to do.|1
Tom wanted to see Wales.|1
Tom wished to sink into the ground for shame.|2
Tom wanted to give a very special present to his girlfriend.|2
Tom wanted to become a lawyer.|1
Tom was just trying to be funny.|1
Tom did not want to admit that he had made a mistake.|2
Tom wouldn't have anything to do with me.|1
Tom didn't want to eat and Mary couldn't persuade him to.|2
Tom didn't want to go to the zoo.|1
Tom didn't want to look, but he couldn't help himself.|2
Tom didn't want to come in.|1
Tom didn't want to come in.|1
Tom didn't want us to find out about this.|2
Tom didn't want Mary to know that he was rich.|2
Tom didn't want me to come to Boston.|1
Tom wanted to talk with me.|1
Tom wanted to study with Mary.|1
Tom wouldn't tell me where Mary was.|1
Tom wouldn't believe me.|1
Tom wanted my permission.|1
Tom wanted to know more about Mary's family.|1
Tom had so many things he wanted to say to Mary.|2
Tom tried to get Mary to do his chores.|2
Tom wouldn't do what Mary asked him to do.|2
Tom didn't want to interrupt Mary.|1
Tom wanted to see Mary suffer.|1
Tom didn't want it.|1
Tom tried to intervene and Mary punched him in the face.|2
Tom wanted to save you, and all you did was fight him.|2
Tom wanted to change the subject.|1
Tom wanted you to think he'd left town.|1
Tom wanted to shoot the deer, but we talked him out of it.|2
Tom didn't want the present.|1
Tom wanted to be famous.|1
Tom intended to become a doctor.|1
Tom has been living in a tent for the past three months.|2
Tom no longer lives with his parents.|1
Tom lives in a rich neighborhood.|1
Tom lives in a very large house.|1
Tom lives near a park.|1
Tom lives near the library.|1
Tom lives in the same part of town as Mary.|2
Tom lives on the upper floor.|1
Tom lives in a camper.|1
It was Tom's first time living alone.|1
Tom lived during the war in Lyon.|1
Tom lives one floor below me.|1
Tom stayed at this hotel for three weeks.|1
Tom lives near us.|1
Tom lives on his country estate.|1
Tom wiped the lipstick off his cheek.|1
Tom looks very lonely.|1
Tom doesn't look happy to see you.|1
Tom will be asleep by the time we get there.|2
Tom will probably be convicted of fraud.|1
Tom will probably be convicted and executed.|1
Tom will likely lose his job.|1
Tom will likely lose his job.|1
Tom will likely lose his job.|1
Tom is going to miss doing this.|1
Tom will get off scot free.|1
Tom will want to thank you in person.|1
Tom will never change.|1
Tom is going to be pleased to see you.|2
Tom won't likely be cooperative.|1
Tom rarely gets angry.|1
Tom won't survive.|1
Tom isn't going to be here long.|1
Tom won't confess.|1
Tom doesn't tan. He just burns.|1
Tom will be back next year.|1
Tom probably won't be here tomorrow.|1
Tom is going to dump Mary.|1
Tom is probably not hungry right now.|1
Tom won't have lunch with us today.|1
Tom is being paid to do nothing.|1
Tom is going to need your help.|1
Tom will probably never find out.|1
Tom will change his mind again.|1
Tom won't admit it.|1
Tom will explain it to you.|1
Tom will be exhausted.|1
You won't have any more trouble with Tom.|1
Tom is likely to win this game.|1
Tom will never see you again.|1
Tom won't like you.|1
Tom won't let you go.|1
Tom will not like this.|1
Tom isn't going to do that for Mary.|1
Tom will be at home until noon.|1
Tom will soon be there.|1
Tom will deny everything.|1
Tom wants to learn how to draw.|1
Tom wants to know why.|1
Tom doesn't want to be seen talking to you.|2
Tom wants to help us.|1
Tom wants to become a translator.|1
Tom wants to be a translator.|1
Tom never wants to see you again.|1
Tom just wants to be friends with you.|1
Tom wants to learn Serbian.|1
Tom doesn't want to admit that he has a drinking problem.|2
Tom doesn't want to become an electrician.|1
Tom plans to ask Mary to marry him.|1
Tom wants to move to a larger city.|1
Tom never wants to see you again.|1
Tom wants to finish eating before he talks to anyone.|2
Tom wants to be successful.|1
Tom wants to try a new shampoo.|1
Tom wants to buy a car.|1
Tom wants to become an interpreter.|1
Tom wants to plant broccoli this year.|1
Tom never wants to see you again.|1
Tom wants us to suffer.|1
Tom wants us to do this.|1
Tom wants everyone to like him.|1
Tom wants me to try harder.|1
Tom wants you to meet him at Mary's.|1
Tom is doing that just to buy time.|1
Tom wants to go to the bathroom.|1
Tom wants everyone to like him.|1
Tom told Mary to lock the doors.|1
Tom, how could you lie to me, right to my face, like that?|2
Tom knows how to tell jokes.|1
Tom knows how to eat with chopsticks.|1
Tom knows how you feel.|1
Tom knows what's really going on.|1
Tom probably doesn't know where I live.|1
Tom knows how to fight back.|1
Tom doesn't know where to start.|1
Tom doesn't know where to begin.|1
Tom doesn't know where to wait for Mary.|1
Tom doesn't know what I do.|1
Tom doesn't know what he wants.|1
Tom doesn't know what to do with all his money.|2
Tom doesn't know what to buy Mary for her birthday.|2
Tom doesn't know why Mary is in a bad mood today.|2
Tom knows nothing about Mary.|1
I think Tom knows who stole my wallet.|1
Tom certainly knows a lot about Australia.|1
Tom knows Mary knows.|1
Tom knows he has to do what Mary tells him to do.|2
Tom knows he can do it.|1
Tom knows you can't speak French very well.|1
Tom cried like a little kid.|1
Tom refused to shake my hand.|1
Tom refused to get out of the car.|1
Tom blocked Mary's punch and kicked her again.|1
Tom woke Mary up at 6:30 and she wasn't happy about that.|2
Tom woke Mary up at 6:30 as she had asked him to do.|2
Tom changes clothes every day.|1
Tom moved to a company that offered him a higher salary.|2
Tom isn't washing his car. He's washing Mary's car.|2
Tom was too shy to admit it.|1
Tom was too busy to help me.|1
Tom was pretty friendly to me.|1
Tom was really shocked.|1
Tom was dressed, as always, in black.|1
Tom took chances that I wouldn't have taken.|1
Tom was there before we were.|1
Tom was consumed by hatred.|1
Tom was incredibly curious.|1
What Tom was wearing wasn't appropriate.|1
